cluster_id,member_count,monitor_point_codes
323,3,620403000027;620403000029;620403000032
324,3,620421000185;620421000208;620421030047
325,3,620402010022;620422010054;620422010055
326,3,620422020020;620422020021;620422020022
327,3,620422020031;620422020032;620422020033
328,3,620502010275;620502010313;620502010314
329,3,620502010318;620502010323;620502010329
330,3,620502010371;620502010378;620502010414
331,3,620502010515;620502010523;620523010097
332,3,__62052501007401;620525000054;620525010084
333,3,__620525020002;620525020078;620525020105
335,3,620821010013;620821020049;620821020135
336,3,620821010017;620821020146;620821020147
338,3,__620821020156;__620821020157;620821020025
339,3,620821020036;620821020099;620821020101
340,3,__620821020225;620821020114;620821020140
341,3,__620825030016;620825010034;620825020014
342,3,621022000013;621022010031;621022010079
343,3,621027000067;621027000070;621027030056
344,3,621125010042;621125030132;621125030134
345,3,621125000006;621125030075;621125030084
347,3,__621126010408;__621126010539;621126030170
348,3,621202010824;621202011166;621202020313
349,3,621202010893;621202010914;621202011972
350,3,621202010994;621202011049;621202030670
351,3,621202011170;621202011171;621202011534
352,3,621202011455;621202011464;621202011729
353,3,621202011467;621202011752;621202011967
354,3,__621202012441;621202011819;621202011826
355,3,621202011090;621202011844;621202011962
356,3,__621221010713;621221010399;621221010409
357,3,621221010445;621221010446;621221010447
358,3,621221010391;621221010467;621221010591
359,3,621222000201;621222010734;621222030498
360,3,621222000528;621222010357;621222010360
361,3,621222010504;621222010566;621222020230
362,3,621223010167;621223010168;621223010169
363,3,621223010194;621223010232;621223010233
364,3,621224010394;621224010422;621224010438
365,3,621225010329;621225010425;621225010484
366,3,621227010317;621227010393;621227010425
370,3,513225010154;513225010581;513225030192
